IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP487;CR_PRICE_1_USD
Декоративный колпачок Ø54*1.5 мм., на полосу 25*4 мм.;Декоративный колпачок Ø54*1.5 мм., на полосу 25*4 мм.;;;0.71
Декоративный колпачок Ø78*1.5 мм., на полосу 40*4 мм.;Декоративный колпачок Ø78*1.5 мм., на полосу 40*4 мм.;;;0.87
Побег винограда Ø6 мм., 200 мм., с петелькой;Побег винограда Ø6 мм., 200 мм., с петелькой;;;2.72
Заклепка Ø30 мм., ≠14 мм., кованая;Заклепка Ø30 мм., ≠14 мм., кованая;;;0.74
Эмаль бронзовая термостойкая 150° (1.0 кг.) Церта-Пласт;Эмаль бронзовая термостойкая 150° (1.0 кг.) Церта-Пласт;;;32.94
Заклепка роза Ø31 мм., ≠9.5 мм., кованая;Заклепка роза Ø31 мм., ≠9.5 мм., кованая;;;0.4
Лист винограда 200*215 мм., ≠0.7 мм., большой, штамп.;Лист винограда 200*215 мм., ≠0.7 мм., большой, штамп.;;;3.34
Грунт 0,25 л., Коричневый антикор. д/черных металлов, Rust Beater №1 Hammerite;Грунт 0,25 л., Коричневый антикор. д/черных металлов, Rust Beater №1 Hammerite;"Краска молотковая Hammerite – лакокрасочный материал для создания атмосферостойкого, грязе- и водоотталкивающего покрытия. Применяется для обработки пораженных ржавчиной или чистых металлических поверхностей. Купить и использовать молотковую краску данной марки можно для внутренних и наружных работ.

Преимущества:<ul>

<li>выполняет функции грунта, защиты от коррозии и финишного покрытия чешуйчатой структуры;
<li>активные антикоррозийные добавки в составе;
<li>долговечность – покрытие остается качественным до 8 лет;
<li>доступная цена.
</ul>";;9.63
Эмаль серебро (0.08 кг.) Церта-Патина;Эмаль серебро (0.08 кг.) Церта-Патина;"Эмаль «Церта-Патина» применяется для патинирования изделий из металла, предварительно окрашенных кузнечной эмалью «Церта-Пласт».

<p>Быстрое высыхание в естественных условиях — сушка «на отлип» в течение 15 мин. Растворители: сольвент, ксилол, толуол.

<p>Технология нанесения<br/>

Наносить плоской кистью на фактурную или шероховатую поверхность. На палитру нанести небольшое количество патины. Слегка подсохший материал растереть влажной кистью, смоченной в растворителе. Пройтись кистью по выпуклым местам кованого изделия, по ребрам, впадинам и т.п.

<p>Излишки снимать ветошью или кистью. Для более насыщенного цвета растирать патину менее интенсивно.";;10.53
Накладка 275*275 мм., ≠1 мм., штамп. ( габаритные 290*290 мм.);Накладка 275*275 мм., ≠1 мм., штамп. ( габаритные 290*290 мм.);;;12.07
Накладка 475*475 мм., ≠1 мм., штамп.( габаритные размеры 490*490 мм.);Накладка 475*475 мм., ≠1 мм., штамп.( габаритные размеры 490*490 мм.);;;32.88
Накладка 475*775 мм., ≠1 мм., штамп.( габаритные размеры 490*790 мм.);Накладка 475*775 мм., ≠1 мм., штамп.( габаритные размеры 490*790 мм.);;;51.15
Подпятник 60*60 мм., без отв., литье;Подпятник 60*60 мм., без отв., литье;;;2.01
Ручка-скоба «Витая» 200*60 мм., золото;Ручка-скоба «Витая» 200*60 мм., золото;;;9.47
Труба 32*1,5 мм., 3000 мм., кованная;Труба 32*1,5 мм., 3000 мм., кованная;;;36.41
Труба 14*1,2 мм., 3000 мм., витая;Труба 14*1,2 мм., 3000 мм., витая;;;9.32
Труба 25*1.5 мм., 3000 мм., витая;Труба 25*1.5 мм., 3000 мм., витая;;;17.43
Труба 51*1.5 мм., 3000 мм., витая;Труба 51*1.5 мм., 3000 мм., витая;;;36.53
Краска млт. медная (0.75 л.) Hammerite;Краска млт. медная (0.75 л.) Hammerite;"Краска молотковая Hammerite – лакокрасочный материал для создания атмосферостойкого, грязе- и водоотталкивающего покрытия. Применяется для обработки пораженных ржавчиной или чистых металлических поверхностей. Купить и использовать молотковую краску данной марки можно для внутренних и наружных работ.

Преимущества:<ul>

<li>выполняет функции грунта, защиты от коррозии и финишного покрытия чешуйчатой структуры;
<li>активные антикоррозийные добавки в составе;
<li>долговечность – покрытие остается качественным до 8 лет;
<li>доступная цена.
</ul>";;57.4
